index,adult_obesity_rate,adult_physical_activity_rate,cancer_mortality,diabetes_mortality,heart_disease_mortality,hs_graduation_rate,life_expectancy,median_household_income,overall_mortality,unemployment_rate,avg_temp_jan,avg_temp_apr,avg_temp_jul,avg_temp_oct,avg_percipitation_days
Atlanta,0.254,0.272,0.001593,0.000193,0.0015730000000000002,0.893,78.0,46485.0,0.0071010000000000005,0.113,42.7,61.6,80.0,62.8,115.0
Baltimore,0.307,0.6859999999999999,0.002139,,0.0024159999999999997,0.8220000000000001,73.9,42266.0,,0.111,32.3,53.2,76.5,55.4,115.0
Boston,0.217,0.242,0.001863,0.00019600000000000002,0.0013109999999999999,0.87,80.1,53583.0,0.00691,0.081,29.3,48.3,73.9,54.1,127.0
Chicago,0.24600000000000002,0.507,0.001872,0.000215,0.001956,0.8240000000000001,78.0,47099.0,0.0076170000000000005,0.127,22.0,47.8,73.3,52.1,125.0
Cleveland,,,,0.000386,0.003392,0.78,73.6,26096.0,0.010498,0.18100000000000002,25.7,47.6,71.9,52.2,155.0
Denver,0.198,0.8340000000000001,0.001776,0.000201,0.0015869999999999999,0.862,78.6,51089.0,0.006829,0.059000000000000004,29.2,47.6,73.4,51.0,89.0
Detroit,0.397,0.191,0.002106,0.00032,0.003141,0.782,,24820.0,0.010255,0.253,24.5,48.1,73.5,51.9,135.0
Fort Worth,0.294,0.479,0.0017430000000000002,0.00022899999999999998,0.001789,0.845,76.9,56853.0,0.008201,0.075,44.1,65.0,85.0,67.2,79.0
Houston,0.306,,0.001603,0.00021899999999999998,0.001719,0.7759999999999999,,45353.0,0.007449,0.079,51.8,68.5,83.6,70.4,105.0
Kansas City,,,0.001772,0.000267,0.001516,0.8859999999999999,77.6,45551.0,0.007627999999999999,0.07200000000000001,26.9,54.4,78.5,56.8,104.0
Las Vegas,0.275,0.44,0.001621,0.00011800000000000001,0.0019069999999999998,0.8390000000000001,79.0,52873.0,0.0074210000000000005,0.129,47.0,66.0,91.2,68.7,26.0
Long Beach,0.262,0.321,0.00134,0.00016600000000000002,0.001797,,82.8,,0.005621,,57.0,63.0,73.8,68.6,31.0
Los Angeles,0.21600000000000003,0.29,0.0008309999999999999,0.00014900000000000002,0.000928,0.759,81.8,48466.0,0.0034130000000000002,0.107,57.1,60.8,69.3,66.9,35.0
Miami,0.23800000000000002,,0.001364,0.000213,0.001585,0.7879999999999999,80.0,43100.0,0.006032,0.099,68.1,75.7,83.7,78.8,131.0
Minneapolis,0.217,0.5770000000000001,0.001776,0.00019600000000000002,0.001118,0.898,,50563.0,0.008099,0.08,13.1,46.6,73.2,48.7,115.0
New York,0.23399999999999999,0.6729999999999999,0.001513,0.00020800000000000001,0.0018419999999999999,0.809,81.1,52223.0,0.006,0.098,32.1,52.5,76.5,56.6,121.0
Oakland,0.21,0.32,0.0015869999999999999,0.00027,0.0014080000000000002,0.813,81.7,54394.0,0.006117999999999999,0.125,49.4,56.2,62.8,61.0,63.0
Philadelphia,0.335,0.446,0.002068,0.000221,0.0020280000000000003,0.826,,36836.0,0.008792000000000001,0.138,32.3,53.1,77.6,57.2,117.0
Phoenix,0.245,0.512,0.0010840000000000001,0.000202,0.001064,0.8059999999999999,80.0,46601.0,0.0051979999999999995,0.091,54.2,70.2,92.8,74.6,36.0
Portland,,,0.001705,0.000256,0.00137,0.9109999999999999,79.2,52845.0,0.007499,0.077,39.9,51.2,68.1,54.3,153.0
Sacramento,,,0.002842,0.000489,0.002777,0.847,,48546.0,,0.125,46.3,58.9,75.4,64.4,58.0
San Antonio,0.34700000000000003,0.44,0.001335,0.00021899999999999998,0.0013919999999999998,0.825,79.4,45399.0,0.007891,0.078,50.3,68.6,84.3,70.7,82.0
San Diego,0.223,,0.0015830000000000002,0.000204,0.001406,0.858,82.3,67753.0,0.0063289999999999996,0.095,57.8,62.6,70.9,67.6,41.0
San Jose,0.22,0.53,0.001516,0.00030199999999999997,0.00128,0.823,,80977.0,,0.094,49.4,56.2,62.8,61.0,63.0
Seattle,0.22,0.62,0.001439,0.00018600000000000002,0.001225,0.9359999999999999,82.2,70172.0,0.005959,0.059000000000000004,40.9,50.2,65.3,52.7,155.0
U.S. Total,0.349,0.499,0.001665,0.000212,0.001698,0.86,78.8,42250.0,0.007319,0.07400000000000001,,,,,
Washington,0.22899999999999998,0.805,0.001795,0.000242,0.00218,0.899,77.5,67572.0,,0.10400000000000001,34.9,56.1,79.2,58.8,113.0
